week_end_date,geo_country,median_listing_price_yy,active_listing_count_yy,median_days_on_market_by_day_yy,median_days_on_market_yy,new_listing_count_yy,new_listing_share_yy,price_reduced_count_yy,price_reduced_share_yy
13-Mar-21,usa,9.70%,-52.60%,-12,-21.10%,-9.80%,1.80%,-64.00%,-1.90%
6-Mar-21,usa,9.50%,-51.20%,-11,-19.00%,-9.10%,1.80%,-62.40%,-1.90%
27-Feb-21,usa,11.90%,-51.30%,-13,-20.60%,-8.40%,1.70%,-63.80%,-1.90%
20-Feb-21,usa,12.40%,-50.50%,-18,-25.40%,-19.00%,0.60%,-66.30%,-1.90%
13-Feb-21,usa,11.50%,-49.10%,-15,-20.50%,-9.60%,1.40%,-61.10%,-1.80%
6-Feb-21,usa,13.00%,-48.10%,-17,-21.80%,-9.10%,1.30%,-57.40%,-1.70%
30-Jan-21,usa,11.70%,-46.80%,-16,-20.00%,-2.70%,1.70%,-52.90%,-1.50%
23-Jan-21,usa,11.70%,-45.30%,-15,-18.50%,-3.80%,1.50%,-51.00%,-1.40%
16-Jan-21,usa,11.90%,-44.20%,-15,-18.50%,-2.90%,1.50%,-49.40%,-1.40%
9-Jan-21,usa,11.20%,-43.20%,-14,-17.10%,-9.20%,1.00%,-49.90%,-1.60%
2-Jan-21,usa,10.40%,-42.80%,-16,-18.60%,-16.80%,0.10%,-56.60%,-1.40%
26-Dec-20,usa,11.50%,-42.20%,-16,-19.50%,24.00%,1.20%,-35.80%,-0.30%
19-Dec-20,usa,11.70%,-41.10%,-17,-21.50%,15.70%,1.70%,-31.30%,-0.50%
12-Dec-20,usa,12.40%,-40.60%,-14,-18.70%,16.20%,1.80%,-36.00%,-0.80%
5-Dec-20,usa,13.00%,-40.30%,-13,-17.60%,7.30%,1.40%,-39.80%,-1.20%
28-Nov-20,usa,13.30%,-40.50%,-14,-19.40%,10.30%,1.10%,-35.10%,-0.60%
21-Nov-20,usa,13.30%,-39.80%,-14,-20.30%,23.60%,2.30%,-38.30%,-1.20%
14-Nov-20,usa,12.80%,-39.60%,-14,-20.90%,2.70%,1.20%,-39.20%,-1.30%
7-Nov-20,usa,13.10%,-39.90%,-13,-20.00%,0.10%,1.10%,-47.20%,-1.80%
31-Oct-20,usa,12.00%,-39.20%,-14,-21.20%,-2.50%,0.80%,-46.40%,-1.90%
24-Oct-20,usa,12.60%,-39.30%,-14,-21.50%,13.40%,1.80%,-43.90%,-1.80%
17-Oct-20,usa,12.60%,-38.90%,-14,-21.90%,8.30%,1.50%,-45.50%,-2.00%
10-Oct-20,usa,12.60%,-39.30%,-14,-21.90%,11.70%,1.80%,-42.80%,-1.80%
3-Oct-20,usa,12.40%,-39.30%,-12,-19.50%,40.90%,3.80%,-44.10%,-1.90%
26-Sep-20,usa,12.10%,-39.10%,-13,-20.30%,7.90%,1.70%,-45.10%,-1.90%
19-Sep-20,usa,11.80%,-39.00%,-12,-19.50%,12.20%,2.00%,-44.30%,-1.80%
12-Sep-20,usa,11.60%,-38.70%,-11,-18.60%,1.30%,1.30%,-48.80%,-2.10%
5-Sep-20,usa,10.80%,-38.80%,-10,-16.10%,5.90%,1.70%,-46.80%,-1.90%
29-Aug-20,usa,11.10%,-38.10%,-9,-15.30%,2.00%,1.30%,-46.50%,-2.00%
22-Aug-20,usa,10.80%,-37.60%,-9,-14.40%,4.20%,1.40%,-45.40%,-1.90%
15-Aug-20,usa,10.50%,-36.90%,-9,-15.10%,4.50%,1.50%,-45.90%,-2.00%
8-Aug-20,usa,9.70%,-36.60%,-7,-12.50%,4.90%,1.50%,-44.90%,-1.90%
1-Aug-20,usa,8.80%,-36.10%,-6,-9.80%,-0.70%,1.10%,-45.10%,-1.90%
25-Jul-20,usa,8.70%,-35.20%,-5,-8.80%,2.10%,1.30%,-44.60%,-1.90%
18-Jul-20,usa,8.20%,-34.10%,-5,-8.80%,-4.90%,0.80%,-43.50%,-1.90%
11-Jul-20,usa,7.80%,-33.00%,-4,-7.00%,-10.10%,0.40%,-47.30%,-2.20%
4-Jul-20,usa,6.30%,-32.20%,0,0.00%,7.70%,1.40%,-33.50%,-1.00%
27-Jun-20,usa,6.30%,-31.20%,3,5.60%,-11.30%,0.20%,-43.40%,-1.80%
20-Jun-20,usa,6.20%,-29.80%,6,11.30%,-12.90%,0.10%,-42.40%,-1.70%
13-Jun-20,usa,5.90%,-27.90%,12,23.10%,-11.70%,0.20%,-40.20%,-1.60%
6-Jun-20,usa,4.70%,-26.10%,15,28.30%,-11.30%,0.20%,-40.80%,-1.60%
30-May-20,usa,4.30%,-24.60%,18,34.00%,-18.20%,-0.30%,-40.50%,-1.40%
23-May-20,usa,3.10%,-23.20%,18,34.60%,-13.90%,0.10%,-35.60%,-1.10%
16-May-20,usa,2.80%,-21.90%,17,33.30%,-22.60%,-0.60%,-40.90%,-1.50%
9-May-20,usa,1.60%,-20.80%,15,29.40%,-22.80%,-0.60%,-40.50%,-1.40%
2-May-20,usa,1.30%,-20.00%,12,22.60%,-31.60%,-1.40%,-46.10%,-1.70%
25-Apr-20,usa,0.30%,-18.70%,11,20.80%,-32.70%,-1.50%,-46.60%,-1.60%
18-Apr-20,usa,1.40%,-16.80%,8,15.10%,-38.00%,-2.00%,-41.90%,-1.20%
11-Apr-20,usa,1.30%,-17.20%,5,9.30%,-45.10%,-2.90%,-52.30%,-1.90%
4-Apr-20,usa,2.00%,-17.00%,1,2.30%,-31.20%,-1.70%,-47.20%,-1.80%
28-Mar-20,usa,2.80%,-16.00%,-3,-5.80%,-30.20%,-1.70%,-48.50%,-1.90%
21-Mar-20,usa,3.50%,-15.90%,-8,-13.10%,-8.70%,-0.10%,-33.30%,-1.30%
14-Mar-20,usa,4.30%,-16.60%,-8,-12.10%,4.70%,0.80%,-22.50%,-0.80%
7-Mar-20,usa,3.80%,-16.90%,-10,-14.20%,14.10%,1.50%,-20.60%,-0.70%
29-Feb-20,usa,2.90%,-17.10%,-7,-10.40%,2.10%,0.60%,-25.70%,-0.90%
22-Feb-20,usa,3.60%,-16.10%,-2,-2.70%,1.90%,0.60%,-29.10%,-1.10%
15-Feb-20,usa,2.70%,-15.90%,-1,-1.40%,-1.00%,0.40%,-30.00%,-1.20%
8-Feb-20,usa,1.70%,-15.70%,3,4.00%,-1.10%,0.50%,-24.10%,-0.80%
1-Feb-20,usa,3.10%,-15.10%,0,0.00%,-2.50%,0.30%,-28.30%,-1.10%
25-Jan-20,usa,3.40%,-15.00%,0,0.00%,-3.10%,0.30%,-25.30%,-0.90%
18-Jan-20,usa,3.30%,-14.40%,0,0.00%,-6.70%,0.10%,-27.00%,-1.00%
11-Jan-20,usa,3.50%,-13.90%,1,1.20%,-6.00%,0.10%,-22.00%,-0.80%
4-Jan-20,usa,3.50%,-13.30%,3,3.60%,-12.50%,-0.30%,-36.60%,-1.40%
28-Dec-19,usa,3.60%,-12.50%,0,0.00%,-7.10%,0.00%,-40.90%,-0.90%
21-Dec-19,usa,3.80%,-11.90%,1,1.30%,-2.00%,0.10%,-31.20%,-1.00%
14-Dec-19,usa,3.40%,-11.70%,0,0.00%,-6.80%,-0.10%,-25.50%,-0.90%
7-Dec-19,usa,3.40%,-11.20%,1,1.40%,-2.70%,0.10%,-16.10%,-0.60%
30-Nov-19,usa,3.40%,-10.40%,0,0.00%,-32.50%,-1.50%,-58.70%,-3.30%
23-Nov-19,usa,1.80%,-10.00%,-2,-2.80%,45.90%,1.70%,24.40%,0.90%
16-Nov-19,usa,3.40%,-9.70%,0,0.00%,-0.70%,0.10%,-20.90%,-1.00%
9-Nov-19,usa,3.40%,-8.80%,0,0.00%,-2.40%,0.00%,-18.00%,-0.90%
2-Nov-19,usa,4.40%,-9.00%,1,1.50%,-1.40%,0.10%,-26.00%,-1.60%
26-Oct-19,usa,5.10%,-8.40%,0,0.00%,-0.60%,0.10%,-22.40%,-1.30%
19-Oct-19,usa,5.10%,-8.20%,0,0.00%,-3.40%,0.00%,-20.50%,-1.20%
12-Oct-19,usa,4.90%,-6.80%,0,0.00%,-1.50%,0.00%,-21.70%,-1.30%
5-Oct-19,usa,5.10%,-6.40%,0,0.60%,-4.30%,-0.20%,-26.60%,-1.80%
28-Sep-19,usa,5.20%,-6.50%,1,1.20%,-0.10%,0.10%,-24.10%,-1.50%
21-Sep-19,usa,4.90%,-6.30%,1,1.80%,-2.70%,0.00%,-22.20%,-1.30%
14-Sep-19,usa,5.00%,-5.80%,1,2.40%,-9.40%,-0.50%,-19.80%,-1.10%
7-Sep-19,usa,5.40%,-5.00%,1,1.40%,-1.80%,-0.10%,-15.70%,-0.90%
31-Aug-19,usa,6.50%,-4.00%,0,0.30%,0.20%,0.00%,-19.00%,-1.20%
24-Aug-19,usa,6.10%,-4.60%,1,0.90%,-1.50%,0.00%,-19.10%,-1.20%
17-Aug-19,usa,5.90%,-4.10%,1,1.60%,-1.00%,0.00%,-17.30%,-1.10%
10-Aug-19,usa,5.80%,-3.50%,1,2.20%,-3.00%,-0.20%,-15.90%,-1.00%
3-Aug-19,usa,6.10%,-2.70%,1,1.10%,-8.90%,-0.70%,-20.80%,-1.40%
27-Jul-19,usa,6.30%,-2.50%,0,0.00%,-2.00%,-0.20%,-16.70%,-1.10%
20-Jul-19,usa,6.70%,-2.00%,1,1.80%,-2.00%,-0.20%,-13.40%,-0.90%
13-Jul-19,usa,6.70%,-1.50%,3,5.60%,2.80%,0.10%,-9.10%,-0.70%
6-Jul-19,usa,6.70%,-1.20%,3,5.60%,-5.60%,-0.40%,-18.30%,-1.00%
29-Jun-19,usa,6.70%,-0.20%,1,1.90%,4.80%,0.20%,-11.90%,-0.80%
22-Jun-19,usa,6.70%,-0.10%,1,1.90%,5.20%,0.30%,-10.80%,-0.70%
15-Jun-19,usa,6.70%,0.30%,1,2.00%,-1.70%,-0.20%,-10.00%,-0.60%
8-Jun-19,usa,6.70%,0.60%,2,3.90%,-0.10%,-0.10%,-8.80%,-0.60%
1-Jun-19,usa,6.80%,1.10%,2,3.90%,0.70%,-0.10%,-13.70%,-0.90%
25-May-19,usa,6.70%,1.70%,1,2.00%,2.90%,0.00%,-10.00%,-0.60%
18-May-19,usa,6.70%,1.70%,0,0.00%,1.40%,0.00%,-6.80%,-0.50%
11-May-19,usa,7.00%,2.50%,0,0.00%,1.20%,-0.10%,-6.60%,-0.40%
4-May-19,usa,6.70%,2.70%,1,1.90%,-2.80%,-0.40%,-11.70%,-0.80%
27-Apr-19,usa,7.00%,3.00%,0,0.00%,1.90%,-0.10%,-9.50%,-0.60%
20-Apr-19,usa,6.80%,2.50%,0,0.00%,-4.80%,-0.60%,-16.50%,-0.90%
13-Apr-19,usa,6.80%,3.90%,0,0.00%,4.90%,0.10%,-4.40%,-0.40%
6-Apr-19,usa,7.80%,4.20%,2,3.10%,-4.50%,-0.70%,-2.30%,-0.30%
30-Mar-19,usa,7.40%,5.60%,2,4.30%,10.50%,0.30%,6.00%,0.00%
23-Mar-19,usa,6.70%,4.40%,5,9.00%,0.00%,-0.30%,2.40%,-0.10%
16-Mar-19,usa,7.30%,4.30%,7,11.80%,-8.10%,-0.90%,4.10%,0.00%
9-Mar-19,usa,6.90%,4.70%,9,14.50%,-12.20%,-1.30%,3.90%,0.00%
2-Mar-19,usa,7.60%,5.20%,9,15.20%,-14.80%,-1.50%,-2.60%,-0.30%
23-Feb-19,usa,7.20%,4.90%,1,1.40%,-5.80%,-0.70%,13.00%,0.40%
16-Feb-19,usa,7.80%,5.40%,0,0.00%,-2.80%,-0.50%,17.00%,0.50%
9-Feb-19,usa,7.30%,6.10%,-2,-2.60%,-2.00%,-0.50%,14.10%,0.40%
2-Feb-19,usa,7.00%,6.30%,-1,-1.20%,-10.30%,-1.10%,8.60%,0.20%
26-Jan-19,usa,7.40%,6.80%,-1,-1.20%,-0.60%,-0.40%,11.60%,0.20%
19-Jan-19,usa,7.40%,6.50%,-2,-2.40%,7.90%,0.10%,29.70%,0.90%
12-Jan-19,usa,7.20%,5.90%,-2,-2.40%,8.70%,0.20%,21.20%,0.70%
5-Jan-19,usa,7.20%,5.20%,-2,-2.40%,-8.00%,-0.60%,18.60%,0.50%
29-Dec-18,usa,7.40%,5.80%,-3,-3.50%,-7.50%,-0.30%,-6.30%,-0.30%
22-Dec-18,usa,7.40%,5.40%,-3,-3.70%,11.20%,0.30%,20.30%,0.50%
15-Dec-18,usa,7.40%,5.10%,-3,-3.80%,4.30%,0.00%,17.50%,0.50%
8-Dec-18,usa,7.40%,4.90%,-2,-2.70%,-3.20%,-0.40%,15.00%,0.50%
1-Dec-18,usa,7.40%,5.30%,-2,-2.70%,-0.40%,-0.20%,15.90%,0.60%
24-Nov-18,usa,8.00%,4.40%,-3,-4.10%,-1.90%,-0.20%,14.80%,0.30%
17-Nov-18,usa,7.90%,3.80%,-4,-5.60%,-1.30%,-0.30%,14.40%,0.50%
10-Nov-18,usa,7.30%,3.50%,-6,-8.50%,4.70%,0.10%,17.30%,0.70%
3-Nov-18,usa,7.30%,2.60%,-6,-8.50%,-7.30%,-0.60%,18.20%,0.90%
27-Oct-18,usa,7.30%,2.60%,-6,-8.50%,-5.60%,-0.40%,26.10%,1.20%
20-Oct-18,usa,7.30%,1.90%,-4,-5.90%,2.80%,0.10%,17.90%,0.90%
13-Oct-18,usa,7.40%,1.10%,-3,-4.50%,2.70%,0.10%,19.80%,1.00%
6-Oct-18,usa,7.50%,0.60%,-4,-6.00%,-8.50%,-0.60%,21.60%,1.30%
29-Sep-18,usa,7.60%,-0.10%,-5,-7.50%,1.20%,0.00%,14.00%,0.80%
22-Sep-18,usa,8.20%,-0.40%,-5,-7.60%,-28.90%,-2.40%,20.80%,1.30%
15-Sep-18,usa,8.30%,1.80%,-4,-6.30%,5.10%,0.10%,18.70%,0.80%
8-Sep-18,usa,8.10%,-1.20%,-4,-6.30%,7.90%,0.50%,25.30%,1.30%
1-Sep-18,usa,7.30%,-1.70%,-4,-6.30%,6.50%,0.40%,11.10%,0.70%
25-Aug-18,usa,8.00%,-2.50%,-4,-6.30%,-2.70%,0.00%,12.90%,0.90%
18-Aug-18,usa,8.40%,-2.80%,-3,-4.90%,0.00%,0.10%,7.90%,0.60%
11-Aug-18,usa,8.70%,-3.20%,-3,-5.00%,-1.10%,0.10%,7.30%,0.60%
4-Aug-18,usa,8.70%,-3.40%,-3,-5.00%,5.10%,0.50%,7.30%,0.60%
28-Jul-18,usa,7.70%,-4.10%,-2,-3.40%,4.00%,0.50%,5.50%,0.50%
21-Jul-18,usa,7.20%,-4.40%,-3,-5.10%,1.30%,0.40%,3.50%,0.40%
14-Jul-18,usa,7.50%,-5.10%,-5,-8.50%,2.20%,0.50%,3.20%,0.40%
7-Jul-18,usa,7.50%,-5.70%,-4,-6.90%,-0.90%,0.20%,0.40%,0.20%
30-Jun-18,usa,7.50%,-4.70%,-4,-7.00%,-1.60%,0.20%,1.80%,0.30%
23-Jun-18,usa,7.30%,-5.80%,-4,-7.10%,2.00%,0.50%,3.00%,0.40%
16-Jun-18,usa,7.50%,-6.10%,-4,-7.30%,4.30%,0.60%,1.30%,0.30%
9-Jun-18,usa,7.50%,-6.80%,-3,-5.60%,2.10%,0.60%,2.90%,0.40%
2-Jun-18,usa,7.50%,-7.10%,-5,-8.90%,0.30%,0.40%,0.50%,0.30%
26-May-18,usa,7.50%,-7.40%,-4,-7.30%,0.10%,0.40%,1.60%,0.40%
19-May-18,usa,7.90%,-7.60%,-3,-5.60%,1.70%,0.60%,0.20%,0.30%
12-May-18,usa,8.40%,-7.80%,-3,-5.60%,2.90%,0.70%,-4.90%,0.00%
5-May-18,usa,8.70%,-8.80%,-4,-7.10%,1.10%,0.60%,10.40%,0.80%
28-Apr-18,usa,10.20%,-9.30%,-4,-7.00%,-8.60%,-0.10%,-6.40%,0.00%
21-Apr-18,usa,7.30%,-8.90%,-3,-5.40%,-0.30%,0.50%,-5.50%,0.00%
14-Apr-18,usa,9.20%,-8.50%,-4,-6.90%,9.70%,1.20%,7.60%,0.60%
7-Apr-18,usa,7.40%,-9.10%,-3,-5.20%,2.80%,0.80%,-3.30%,0.20%
31-Mar-18,usa,7.40%,-9.40%,-2,-3.40%,-9.30%,-0.10%,-14.20%,-0.30%
24-Mar-18,usa,8.20%,-8.90%,-3,-5.00%,-0.80%,0.50%,-5.00%,0.10%
17-Mar-18,usa,7.50%,-8.90%,-3,-4.90%,5.50%,1.00%,-1.70%,0.20%
10-Mar-18,usa,8.00%,-9.40%,-3,-4.80%,0.00%,0.60%,-4.50%,0.10%
3-Mar-18,usa,7.70%,-9.40%,-6,-9.00%,-1.80%,0.50%,-5.80%,0.10%
24-Feb-18,usa,7.70%,-9.40%,-4,-5.30%,-3.20%,0.30%,-6.00%,0.10%
17-Feb-18,usa,7.90%,-9.20%,-5,-6.30%,-12.40%,-0.30%,-6.30%,0.10%
10-Feb-18,usa,7.90%,-8.70%,-7,-8.30%,1.30%,0.60%,-4.50%,0.10%
3-Feb-18,usa,8.80%,-9.70%,-4,-4.70%,0.80%,0.60%,-5.40%,0.10%
27-Jan-18,usa,8.00%,-9.60%,-5,-5.70%,0.00%,0.50%,-4.50%,0.10%
20-Jan-18,usa,8.00%,-9.40%,-5,-5.70%,-2.90%,0.40%,-5.90%,0.10%
13-Jan-18,usa,7.80%,-9.40%,-5,-5.70%,0.10%,0.50%,-0.90%,0.30%
6-Jan-18,usa,7.80%,-9.40%,-3,-3.40%,-14.40%,-0.30%,-11.30%,-0.10%
30-Dec-17,usa,7.70%,-8.70%,-6,-6.60%,-9.50%,-0.10%,-12.10%,-0.10%
23-Dec-17,usa,7.60%,-9.00%,-6,-6.90%,10.10%,0.60%,14.40%,0.60%
16-Dec-17,usa,8.00%,-8.70%,-5,-6.00%,2.30%,0.40%,-0.40%,0.30%
9-Dec-17,usa,8.00%,-8.80%,-6,-7.40%,5.10%,0.60%,2.70%,0.40%
2-Dec-17,usa,8.00%,-9.00%,-6,-7.50%,1.10%,0.40%,1.60%,0.50%
25-Nov-17,usa,9.20%,-8.50%,-5,-6.30%,1.30%,0.30%,2.60%,0.30%
18-Nov-17,usa,8.70%,-8.50%,-3,-4.10%,-0.90%,0.40%,-2.60%,0.20%
11-Nov-17,usa,8.20%,-8.10%,-3,-4.10%,4.90%,0.60%,8.40%,0.70%
4-Nov-17,usa,7.80%,-7.70%,-3,-4.10%,14.60%,1.20%,5.60%,0.60%
28-Oct-17,usa,7.90%,-8.30%,-3,-4.10%,9.50%,0.90%,-4.30%,0.10%
21-Oct-17,usa,7.80%,-8.30%,-5,-6.80%,2.60%,0.50%,5.00%,0.60%
14-Oct-17,usa,7.80%,-8.30%,-5,-6.90%,3.90%,0.60%,5.40%,0.60%
7-Oct-17,usa,7.80%,-8.20%,-4,-5.60%,10.10%,1.00%,7.00%,0.70%
30-Sep-17,usa,7.80%,-7.80%,-5,-6.90%,3.10%,0.60%,5.50%,0.70%
23-Sep-17,usa,7.80%,-8.80%,-5,-7.00%,41.70%,2.90%,-4.60%,0.00%
16-Sep-17,usa,7.80%,-11.60%,-6,-8.60%,2.70%,0.80%,-5.80%,0.20%
9-Sep-17,usa,7.80%,-9.40%,-7,-9.90%,0.60%,0.50%,-4.90%,0.10%
2-Sep-17,usa,8.90%,-9.40%,-5,-7.20%,-1.90%,0.30%,0.30%,0.40%
26-Aug-17,usa,7.90%,-9.20%,-5,-7.40%,8.90%,0.90%,2.20%,0.50%
19-Aug-17,usa,7.80%,-9.20%,-6,-9.00%,3.30%,0.70%,3.60%,0.60%
12-Aug-17,usa,7.80%,-9.20%,-6,-9.10%,7.10%,0.90%,2.20%,0.50%
5-Aug-17,usa,7.60%,-9.70%,-5,-7.70%,4.20%,0.70%,5.30%,0.70%
29-Jul-17,usa,8.10%,-9.90%,-6,-9.20%,0.60%,0.50%,3.50%,0.60%
22-Jul-17,usa,7.70%,-10.00%,-5,-7.80%,-0.10%,0.50%,4.30%,0.60%
15-Jul-17,usa,7.70%,-9.60%,-5,-7.80%,1.90%,0.60%,0.80%,0.40%
8-Jul-17,usa,7.70%,-10.40%,-4,-6.50%,-3.70%,0.30%,-2.90%,0.20%
1-Jul-17,usa,8.10%,-10.10%,-4,-6.60%,1.40%,0.60%,4.50%,0.60%
